@timestamp,@message
2019-09-09 06:26:50.053,"START RequestId: 409874e9-c13d-4411-bbe9-a1c216a19392 Version: $LATEST
"
2019-09-09 06:26:50.515,"[INFO]	2019-09-09T06:26:50.515Z	409874e9-c13d-4411-bbe9-a1c216a19392	Request Envelope: {'context': {'audio_player': None,
"
2019-09-09 06:26:50.515,"             'automotive': None,
"
2019-09-09 06:26:50.515,"             'display': {'token': None},
"
2019-09-09 06:26:50.515,"             'geolocation': None,
"
2019-09-09 06:26:50.515,"             'system': {'api_access_token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IjEifQ.eyJhdWQiOiJodHRwczovL2FwaS5hbWF6b25hbGV4YS5jb20iLCJpc3MiOiJBbGV4YVNraWxsS2l0Iiwic3ViIjoiYW16bjEuYXNrLnNraWxsLjg1OWYzZjIyLTVlMDItNDQxYi04ODkzLTgzYTY1ODdjYjhlOSIsImV4cCI6MTU2ODAxMDcwOSwiaWF0IjoxNTY4MDEwNDA5LCJuYmYiOjE1NjgwMTA0MDksInByaXZhdGVDbGFpbXMiOnsiY29udGV4dCI6IkFBQUFBQUFBQVFCRDB2RkJ1YzBzaEpJdCs2Z3pzaXBqS3dFQUFBQUFBQUFHVUZOS3pxY1R2NkFXUlNxV0JPK1ZYNDJxaUY3Q3FPMFE3YXNvTzQvbzVncU5VSkxwV2VhZk10Sy83Z1I1bmJCT2crcDBxNFE0VEFaYms1bXB2Z2dmQ1FrNzNoazJjcDMydVI3NStVeGRxR21ja2hOU3VvRHhBQzkyOFpQMVpqem8rMHFybHRJZXJwVlpDaEltY3BEYTlLelZyQUlVSkJncXhwbDUwR1RTN3BVY0puMURNU0h3b1EzWFNrVjJyMFc2djF0QnNvZVpuMkFWMXRrTy9Jd0tmY1ozQlVheXZmWGVuQVNlbnRrMHMzaUhKdXBDclY0MTI3ZGJiYUlDdW1XSkxzMEQzMi9FU2RxdDdiQ3FSNE1vWUhoUmlSK3o3RlJ2cGtSRVdPM0t3MXN2YjVwTUZQWlUrelYrVVVWMEFlaHRPNmx6bnRaeVRScUVQZXhNcjM4bzFFV1BnSnhWVVVhZ21FejBvdTdFSlo5MFliOWM1eENDNWp5a0lHdnZXWGhhbmdIbHR5c1F3OHdoN0E9PSIsImNvbnNlbnRUb2tlbiI6bnVsbCwiZGV2aWNlSWQiOiJhbXpuMS5hc2suZGV2aWNlLkFFTlEzS01RUFRFSFFMR0JXUjdZV0EzVzJVQVMyT0Y1RUMzSUs1VDdZWTZHUTRMRkdaVVpaNVhDN0JFSlA3QVNCQVpDVUlMUzVJNEJVTkk1TEZBSDdFUkpUWEUyUFpTRUJGNTU1WDZBNUsyRkczTVg3QzZRRE1BNUlHVVZYUUNVM0JRQlRaNlhZMkQ0N1c2VzVRQUtCUEw0SVlOWTJaQzVDTFZPVFRXVkw0Q1U3TVI0UlpYUFEiLCJ1c2VySWQiOiJhbXpuMS5hc2suYWNjb3VudC5BR0xSRVZWUUNSTUFGRU9JS1RDVldKU0ZYQUlIUElLUTNWRDNJQkNDSFJRWlJPUUFVV0tUT1FJNko1QkhIN09LR0MzU1oyR05LWUJHRVQ1Tk9VTVlETkpGSVZDTjdNWjRMWkdPT0ZWTU9VUkFMQklBRkxQV1VFTVQ0NlI3MlRTVzI1QjRZM1JHNEJDVU5LSjZWU1ZQSVpOVE5IUUFETVQzNURWRFVTVDVITEtUUEMzVU9WSkFCM0lJTzRCUklLVk9NVUpOVUxXWEdKM1g1QkEifX0.BuHFyOnIIuv6Xqavr-jO4_zA2FS_CUmPRKZM8r6w8M0dYsAL38gliMXfi0tTuUH21Hnp0jf8TSaHgVeyF9wA5sWUZq0p38-Ug8QqS5d_IDE3dAjInBfWffBcdTAfhXfJG6d8Mi6E8Bs4Ugu6tPJnGvNlgj7fHpocoaF2ydDyMenF-gVMBvcWmkdQeSpKtJO5AGaUuImUTw1D9-KPsqKmoBT7LbrOUt8BMcQ-NdpHT2w63MO80Asly_2h63MCQltdDXHanc_DdUur4ITp2yJyDI7f4hrw4GsJHK3EVs8tboRvO4-S9JQIo7xV5w2y0gM0O0rH-4SHINFda2RYOCn3-g',
"
2019-09-09 06:26:50.515,"                        'api_endpoint': 'https://api.eu.amazonalexa.com',
"
2019-09-09 06:26:50.515,"                        'application': {'application_id': 'amzn1.ask.skill.859f3f22-5e02-441b-8893-83a6587cb8e9'},
"
2019-09-09 06:26:50.515,"                        'device': {'device_id': 'amzn1.ask.device.AENQ3KMQPTEHQLGBWR7YWA3W2UAS2OF5EC3IK5T7YY6GQ4LFGZUZZ5XC7BEJP7ASBAZCUILS5I4BUNI5LFAH7ERJTXE2PZSEBF555X6A5K2FG3MX7C6QDMA5IGUVXQCU3BQBTZ6XY2D47W6W5QAKBPL4IYNY2ZC5CLVOTTWVL4CU7MR4RZXPQ',
"
2019-09-09 06:26:50.515,"                                   'supported_interfaces': {'alexa_presentation_apl': {'runtime': {'max_version': '1.1'}},
"
